x,y,z,LR
-4.809862,-0.512065,68.370476,L
-10.423934,44.935986,-4.1913333,L
-2.613202,41.128975,0.48695415,L
-8.719671,44.46157,5.7234144,L
-3.6967678,44.23632,37.44506,L
-3.5744412,37.04406,27.372263,L
-4.3063936,30.218826,39.170086,L
-7.8174744,17.08111,40.895706,L
-4.678703,22.400436,49.742287,L
-45.304604,44.69543,-15.135013,L
-33.829704,37.197205,-11.051139,L
-33.887753,51.02231,-14.521871,L
-4.88584,67.65825,-3.223769,L
-4.768327,63.05427,-19.04476,L
-3.7089818,51.036915,-9.001125,L
-7.6672006,40.236023,-12.357123,L
-37.81656,15.127298,24.704702,L
-50.780426,12.838484,23.76939,L
-43.643616,21.647074,21.074116,L
-42.578575,45.26006,3.375422,L
-46.37725,36.769875,6.0749025,L
-45.136276,39.381577,-4.7016373,L
-49.58298,32.94955,-9.44221,L
-43.532455,-31.24584,8.007034,L
-50.404606,-22.529856,8.60531,L
-35.842003,-25.699677,11.118071,L
-37.05843,2.0865808,11.121298,L
-36.80938,-8.683767,11.795725,L
-33.895428,8.210871,10.646587,L
-32.621006,11.656215,8.4039955,L
-32.695168,20.96901,9.695851,L
-62.656555,-28.326096,33.810772,L
-59.82827,-38.322914,34.710835,L
-63.93043,-34.71701,25.417744,L
-39.73637,-29.94522,19.19047,L
-42.46704,-37.270897,18.507784,L
-39.818504,-35.736656,11.510094,L
-48.598053,-30.424316,6.6734138,L
-45.038708,-71.29077,21.906391,L
-42.698895,-69.82572,12.555526,L
-43.61009,-64.524086,17.938675,L
-53.73216,-55.179058,16.827417,L
-44.98209,-51.400524,12.863487,L
-54.738148,-46.753838,9.171846,L
-53.21284,-41.277306,3.188725,L
-66.567215,-41.406124,8.381401,L
-28.419367,-55.61657,47.584423,L
-28.299994,-62.620384,46.640404,L
-29.965876,-59.02192,41.410378,L
-41.386333,-71.51386,38.522892,L
-34.049114,-80.57601,41.259666,L
-44.59324,-76.81946,31.029034,L
-45.154213,-80.20409,22.3455,L
-15.706012,-65.07499,27.521296,L
-15.422949,-71.55608,18.470018,L
-14.6408825,-75.33409,24.362137,L
-22.75436,-88.013985,25.693619,L
-10.597135,-91.875244,29.720905,L
-17.2992,-91.82415,19.122906,L
-22.774654,-99.518974,14.620317,L
-26.001755,-86.714676,14.869246,L
-14.480085,-38.058044,49.288074,L
-16.851269,-35.265472,41.50133,L
-14.370443,-42.58653,47.83916,L
-4.0261493,-64.118515,39.467293,L
-7.5621824,-54.1148,35.72625,L
-0.7366749,-67.1842,30.182129,L
-3.0680542,-67.31981,21.740423,L
-0.6019979,19.273335,17.044949,L
-0.84307384,4.6412897,12.909686,L
-0.5836612,5.814314,21.615192,L
-3.8741107,-22.698221,29.511007,L
-3.2606788,-22.528852,28.190586,L
-5.814058,-34.57641,27.374365,L
-4.9229226,-43.987854,21.720932,L
-1.7539024,-42.81386,26.929646,L
-21.148369,24.655504,-19.192593,L
-24.17413,12.307333,-26.117289,L
-14.555466,11.727418,-24.611979,L
-22.127247,-16.34068,-12.156036,L
-26.547922,-12.051206,-16.5868,L
-37.303482,-19.38986,-18.14677,L
-27.56018,-16.549633,-21.708239,L
-35.041615,-25.891605,-16.413202,L
-56.3348,0.56633407,-1.6771514,L
-54.208763,-3.8058212,-16.40576,L
-57.74595,9.999521,-10.330111,L
-33.004707,15.837651,-31.678501,L
-40.4416,16.312618,-39.04207,L
-29.729168,9.806944,-43.246456,L
-30.882015,-3.1808085,-47.019756,L
-23.680325,0.6399925,-43.62805,L
-51.761513,-64.273544,-0.70096624,L
-48.703228,-66.426926,-6.6788836,L
-55.88723,-59.993427,-7.926271,L
-56.58605,-27.66537,-20.918652,L
-56.88745,-41.601482,-23.142887,L
-58.56062,-31.922764,-30.209284,L
-48.314243,-31.751667,-29.237549,L
-55.830303,-19.590805,-37.72527,L
-10.305283,-86.62004,6.6132555,L
-5.7905393,-81.745255,5.234337,L
-4.130029,-90.93892,-2.6257691,L
-29.858664,-79.34594,-13.641336,L
-21.945524,-79.81533,-7.584343,L
-27.611444,-68.73216,-14.686297,L
-24.883265,-59.27298,-15.05673,L
-38.513737,-54.141224,-23.31879,L
-3.733696,-23.603983,4.740155,L
-7.3088684,-26.00893,-4.7622056,L
-11.887261,-33.25704,-1.614719,L
-13.244669,-46.111015,-7.9439993,L
-22.135345,-36.564484,-4.330481,L
-19.499979,-42.576653,-13.25517,L
-23.48486,-39.21071,-17.017517,L
-27.93374,-49.187588,-7.244747,L
-49.87458,-12.270613,44.392567,L
-51.80531,2.0269635,45.32004,L
-47.588844,-4.287727,49.503407,L
